cityName,comment,confirmedCount,confirmedCountRank,confirmedIncr,continents,countryFullName,countryShortCode,countryType,createTime,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,deadCount,deadCountRank,deadIncr,deadRate,deadRateRank,id,incrVo,locationId,modifyTime,operator,provinceId,provinceName,provinceShortName,showRank,sort,statisticsData,suspectedCount,tags
,,169473,18.0,0,欧洲,France,FRA,2,2020-07-10 00:09:29,77985,0,61523,0,29965,6.0,0,17.68,2.0,4370252.0,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",961002,2020-07-10 00:09:29,yehao,5,法国,,True,0.0,https://file1.dxycdn.com/2020/0315/929/3402160538577857318-135.json,0,
,,223327,14.0,3183,亚洲,Saudi Arabia,SAU,2,2020-07-10 00:09:29,161096,3046,60131,96,2100,28.0,41,0.94,143.0,4370373.0,"{'currentConfirmedIncr': 96, 'confirmedIncr': 3183, 'curedIncr': 3046, 'deadIncr': 41}",955016,2020-07-10 00:09:29,yehao,10,沙特阿拉伯,,True,0.0,https://file1.dxycdn.com/2020/0315/830/3402160536430373532-135.json,0,
,,63245,29.0,0,南美洲,Ecuador,ECU,2,2020-07-10 00:09:29,5500,0,52872,0,4873,20.0,0,7.70,15.0,4370365.0,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",973006,2020-07-10 00:09:29,yehao,10,厄瓜多尔,,True,0.0,https://file1.dxycdn.com/2020/0315/922/3402160517103019900-135.json,0,
,,78304,24.0,0,非洲,Egypt,EGY,2,2020-07-10 00:09:29,22241,0,52499,0,3564,24.0,0,4.55,44.0,4370283.0,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",981002,2020-07-10 00:09:29,yehao,10,埃及,,True,0.0,https://file1.dxycdn.com/2020/0315/246/3402160540725341003-135.json,0,
,,51754,34.0,1395,亚洲,Philippines,PHL,2,2020-07-10 00:09:29,12813,225,37627,1170,1314,37.0,0,2.53,86.0,4370271.0,"{'currentConfirmedIncr': 1170, 'confirmedIncr': 1395, 'curedIncr': 225, 'deadIncr': 0}",952008,2020-07-10 00:09:29,yehao,10,菲律宾,,True,0.0,https://file1.dxycdn.com/2020/0315/180/3402160512807875628-135.json,0,
,,62210,30.0,87,欧洲,Belgium,BEL,2,2020-07-10 00:09:29,17159,21,35273,64,9778,12.0,2,15.71,3.0,4370282.0,"{'currentConfirmedIncr': 64, 'confirmedIncr': 87, 'curedIncr': 21, 'deadIncr': 2}",961001,2020-07-10 00:09:29,yehao,10,比利时,,True,0.0,https://file1.dxycdn.com/2020/0315/838/3402160514955359353-135.json,0,
,,70736,26.0,2657,亚洲,Indonesia,IDN,2,2020-07-10 00:09:29,32651,1066,34668,1533,3417,25.0,58,4.83,40.0,4370370.0,"{'currentConfirmedIncr': 1533, 'confirmedIncr': 2657, 'curedIncr': 1066, 'deadIncr': 58}",952005,2020-07-10 00:09:29,yehao,10,印度尼西亚,,True,0.0,https://file1.dxycdn.com/2020/0315/308/3402160527840438594-135.json,0,
,,50694,37.0,0,欧洲,Netherlands,NLD,2,2020-07-10 00:09:29,11886,0,32676,0,6132,16.0,0,12.09,7.0,4370317.0,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",961006,2020-07-10 00:09:29,yehao,10,荷兰,,True,0.0,https://file1.dxycdn.com/2020/0315/850/3402160510660568773-135.json,0,
,,40509,40.0,0,南美洲,Bolivia (Plurinational State of),BOL,2,2020-07-10 00:09:29,10358,0,28675,0,1476,35.0,0,3.64,60.0,4370648.0,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",973002,2020-07-10 00:09:29,yehao,10,玻利维亚,,True,0.0,https://file1.dxycdn.com/2020/0315/679/3402160529987745516-135.json,0,
,,106434,20.0,0,北美洲,Canada,CAN,2,2020-07-10 00:09:29,70161,0,27536,0,8737,14.0,0,8.20,14.0,4370259.0,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",971001,2020-07-10 00:09:29,yehao,10,加拿大,,True,0.0,https://file1.dxycdn.com/2020/0315/505/3402160534282712951-135.json,0,
,,67442,27.0,0,亚洲,Iraq,IRQ,2,2020-07-10 00:09:29,37879,0,26784,0,2779,26.0,0,4.12,52.0,4370300.0,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",955008,2020-07-10 00:09:29,yehao,10,伊拉克,,True,0.0,https://file1.dxycdn.com/2020/0315/762/3402160510660568794-135.json,0,
